section_id,from_station,to_station,geo_distance_km,scheduled_section_minutes,route_context
NDLS_MTJ,NDLS,MTJ,141.0,105.0,NDLS-RKMP
MTJ_AGC,MTJ,AGC,54.0,42.0,NDLS-RKMP
AGC_GWL,AGC,GWL,118.0,78.0,NDLS-RKMP
GWL_VGLJ,GWL,VGLJ,98.0,68.0,NDLS-RKMP
VGLJ_BINA,VGLJ,BINA,153.0,115.0,NDLS-RKMP
BINA_BPL,BINA,BPL,139.0,100.0,NDLS-RKMP
BPL_RKMP,BPL,RKMP,6.4,12.0,NDLS-RKMP
NZM_AGC,NZM,AGC,188.0,115.0,NZM-RKMP
VGLJ_BPL,VGLJ,BPL,292.0,195.0,NZM-RKMP
NDLS_KOTA,NDLS,KOTA,465.0,270.0,NDLS-MMCT
KOTA_RTM,KOTA,RTM,267.0,175.0,NDLS-MMCT
RTM_BRC,RTM,BRC,260.0,190.0,NDLS-MMCT
BRC_ST,BRC,ST,130.0,95.0,NDLS-MMCT
ST_BVI,ST,BVI,234.0,160.0,NDLS-MMCT
BVI_MMCT,BVI,MMCT,30.0,35.0,NDLS-MMCT
NZM_MTJ,NZM,MTJ,134.0,95.0,NZM-MMCT
MTJ_KOTA,MTJ,KOTA,324.0,195.0,NZM-MMCT
NDLS_CNB,NDLS,CNB,440.0,280.0,NDLS-HWH
CNB_PRYJ,CNB,PRYJ,194.0,130.0,NDLS-HWH
PRYJ_DDU,PRYJ,DDU,153.0,110.0,NDLS-HWH
DDU_GAYA,DDU,GAYA,205.0,145.0,NDLS-HWH
GAYA_DHN,GAYA,DHN,201.0,140.0,NDLS-HWH
DHN_ASN,DHN,ASN,58.0,48.0,NDLS-HWH
ASN_HWH,ASN,HWH,200.0,140.0,NDLS-HWH
DDU_DHN,DDU,DHN,406.0,270.0,NDLS-HWH
DHN_HWH,DHN,HWH,258.0,180.0,NDLS-HWH
PRYJ_BSB,PRYJ,BSB,124.0,90.0,NDLS-BSB
