section_id,geo_distance_km,scheduled_section_minutes,avg_fog_risk_score,avg_zone_congestion_index,avg_season_severity_score,avg_psr_count
NDLS_MTJ,141.0,105.0,0.1,0.75,0.35,2.0
MTJ_AGC,54.0,42.0,0.1,0.75,0.35,2.0
AGC_GWL,118.0,78.0,0.1,0.75,0.35,2.0
GWL_VGLJ,98.0,68.0,0.1,0.4,0.35,1.0
VGLJ_BINA,153.0,115.0,0.1,0.4,0.35,1.0
BINA_BPL,139.0,100.0,0.1,0.4,0.35,1.0
BPL_RKMP,6.4,12.0,0.1,0.4,0.35,1.0
NZM_AGC,188.0,115.0,0.1,0.75,0.35,2.0
VGLJ_BPL,292.0,195.0,0.1,0.4,0.35,1.0
NDLS_KOTA,465.0,270.0,0.1,0.75,0.35,2.0
KOTA_RTM,267.0,175.0,0.1,0.4,0.35,1.0
RTM_BRC,260.0,190.0,0.1,0.4,0.35,1.0
BRC_ST,130.0,95.0,0.1,0.4,0.35,1.0
ST_BVI,234.0,160.0,0.1,0.4,0.35,1.0
BVI_MMCT,30.0,35.0,0.1,0.75,0.35,2.0
NZM_MTJ,134.0,95.0,0.1,0.4,0.35,1.0
MTJ_KOTA,324.0,195.0,0.1,0.4,0.35,1.0
NDLS_CNB,440.0,280.0,0.45,0.75,0.35,2.0
CNB_PRYJ,194.0,130.0,0.45,0.75,0.35,2.0
PRYJ_DDU,153.0,110.0,0.45,0.4,0.35,1.0
DDU_GAYA,205.0,145.0,0.45,0.4,0.35,1.0
GAYA_DHN,201.0,140.0,0.1,0.4,0.35,1.0
DHN_ASN,58.0,48.0,0.1,0.4,0.35,1.0
ASN_HWH,200.0,140.0,0.1,0.4,0.35,1.0
DDU_DHN,406.0,270.0,0.45,0.4,0.35,1.0
DHN_HWH,258.0,180.0,0.1,0.4,0.35,1.0
PRYJ_BSB,124.0,90.0,0.45,0.4,0.35,1.0
